2024-08-19T20:38:38.008996 [ENB    ] [I] Using binary /usr/local/bin/srsenb with arguments: 
2024-08-19T20:38:38.058475 [ENB    ] [I] Built in Release mode using commit ec29b0c1f on branch HEAD.
2024-08-19T20:47:42.579849 [COMN   ] [D] [    0] Opened SCTP socket=7
2024-08-19T20:47:42.579853 [COMN   ] [D] [    0] Setting RTO_INFO options on SCTP socket. Association 0, Initial RTO 3000, Minimum RTO 1000, Maximum RTO 6000
2024-08-19T20:47:42.579854 [COMN   ] [D] [    0] Setting SCTP_INITMSG options on SCTP socket. Max attempts 3, Max init attempts timeout 5000
2024-08-19T20:47:42.579863 [COMN   ] [D] [    0] Successfully bound to address 172.22.0.22:0
2024-08-19T20:48:01.253131 [COMN   ] [I] [    0] Failed to establish socket connection to 172.22.0.9
2024-08-19T20:48:01.253249 [COMN   ] [W] [    0] RxSockets: The socket fd=7 to be removed does not exist
2024-08-19T20:48:01.253261 [COMN   ] [D] [    0] Socket=7 was closed.
2024-08-19T20:48:11.252947 [COMN   ] [D] [    0] Opened SCTP socket=7
2024-08-19T20:48:11.252951 [COMN   ] [D] [    0] Setting RTO_INFO options on SCTP socket. Association 0, Initial RTO 3000, Minimum RTO 1000, Maximum RTO 6000
2024-08-19T20:48:11.252952 [COMN   ] [D] [    0] Setting SCTP_INITMSG options on SCTP socket. Max attempts 3, Max init attempts timeout 5000
2024-08-19T20:48:11.252961 [COMN   ] [D] [    0] Successfully bound to address 172.22.0.22:0
2024-08-19T20:48:29.925131 [COMN   ] [I] [    0] Failed to establish socket connection to 172.22.0.9
2024-08-19T20:48:29.925200 [COMN   ] [W] [    0] RxSockets: The socket fd=7 to be removed does not exist
2024-08-19T20:48:29.925213 [COMN   ] [D] [    0] Socket=7 was closed.
2024-08-19T20:48:39.924967 [COMN   ] [D] [    0] Opened SCTP socket=7
2024-08-19T20:48:39.924971 [COMN   ] [D] [    0] Setting RTO_INFO options on SCTP socket. Association 0, Initial RTO 3000, Minimum RTO 1000, Maximum RTO 6000
2024-08-19T20:48:39.924973 [COMN   ] [D] [    0] Setting SCTP_INITMSG options on SCTP socket. Max attempts 3, Max init attempts timeout 5000
2024-08-19T20:48:39.924982 [COMN   ] [D] [    0] Successfully bound to address 172.22.0.22:0
2024-08-19T20:48:58.597141 [COMN   ] [I] [    0] Failed to establish socket connection to 172.22.0.9
2024-08-19T20:48:58.597172 [COMN   ] [W] [    0] RxSockets: The socket fd=7 to be removed does not exist
2024-08-19T20:48:58.597186 [COMN   ] [D] [    0] Socket=7 was closed.
2024-08-19T20:49:08.596213 [COMN   ] [D] [    0] Opened SCTP socket=7
2024-08-19T20:49:08.596219 [COMN   ] [D] [    0] Setting RTO_INFO options on SCTP socket. Association 0, Initial RTO 3000, Minimum RTO 1000, Maximum RTO 6000
2024-08-19T20:49:08.596220 [COMN   ] [D] [    0] Setting SCTP_INITMSG options on SCTP socket. Max attempts 3, Max init attempts timeout 5000
2024-08-19T20:49:08.596232 [COMN   ] [D] [    0] Successfully bound to address 172.22.0.22:0
2024-08-19T20:49:27.268176 [COMN   ] [I] [    0] Failed to establish socket connection to 172.22.0.9
2024-08-19T20:49:27.268275 [COMN   ] [W] [    0] RxSockets: The socket fd=7 to be removed does not exist
2024-08-19T20:49:27.268307 [COMN   ] [D] [    0] Socket=7 was closed.
2024-08-19T20:49:37.268039 [COMN   ] [D] [    0] Opened SCTP socket=7
2024-08-19T20:49:37.268044 [COMN   ] [D] [    0] Setting RTO_INFO options on SCTP socket. Association 0, Initial RTO 3000, Minimum RTO 1000, Maximum RTO 6000
2024-08-19T20:49:37.268045 [COMN   ] [D] [    0] Setting SCTP_INITMSG options on SCTP socket. Max attempts 3, Max init attempts timeout 5000
2024-08-19T20:49:37.268058 [COMN   ] [D] [    0] Successfully bound to address 172.22.0.22:0
2024-08-19T20:49:55.940150 [COMN   ] [I] [    0] Failed to establish socket connection to 172.22.0.9
2024-08-19T20:49:55.940192 [COMN   ] [W] [    0] RxSockets: The socket fd=7 to be removed does not exist
2024-08-19T20:49:55.940211 [COMN   ] [D] [    0] Socket=7 was closed.
2024-08-19T20:50:05.939682 [COMN   ] [D] [    0] Opened SCTP socket=7
2024-08-19T20:50:05.939686 [COMN   ] [D] [    0] Setting RTO_INFO options on SCTP socket. Association 0, Initial RTO 3000, Minimum RTO 1000, Maximum RTO 6000
2024-08-19T20:50:05.939687 [COMN   ] [D] [    0] Setting SCTP_INITMSG options on SCTP socket. Max attempts 3, Max init attempts timeout 5000
2024-08-19T20:50:05.939698 [COMN   ] [D] [    0] Successfully bound to address 172.22.0.22:0
2024-08-19T20:50:24.612153 [COMN   ] [I] [    0] Failed to establish socket connection to 172.22.0.9
2024-08-19T20:50:24.612271 [COMN   ] [W] [    0] RxSockets: The socket fd=7 to be removed does not exist
2024-08-19T20:50:24.612284 [COMN   ] [D] [    0] Socket=7 was closed.
2024-08-19T20:50:34.611711 [COMN   ] [D] [    0] Opened SCTP socket=7
2024-08-19T20:50:34.611715 [COMN   ] [D] [    0] Setting RTO_INFO options on SCTP socket. Association 0, Initial RTO 3000, Minimum RTO 1000, Maximum RTO 6000
2024-08-19T20:50:34.611716 [COMN   ] [D] [    0] Setting SCTP_INITMSG options on SCTP socket. Max attempts 3, Max init attempts timeout 5000
2024-08-19T20:50:34.611729 [COMN   ] [D] [    0] Successfully bound to address 172.22.0.22:0
2024-08-19T20:50:53.284138 [COMN   ] [I] [    0] Failed to establish socket connection to 172.22.0.9
2024-08-19T20:50:53.284222 [COMN   ] [W] [    0] RxSockets: The socket fd=7 to be removed does not exist
2024-08-19T20:50:53.284235 [COMN   ] [D] [    0] Socket=7 was closed.
2024-08-19T20:51:03.286808 [COMN   ] [D] [    0] Opened SCTP socket=7
2024-08-19T20:51:03.286812 [COMN   ] [D] [    0] Setting RTO_INFO options on SCTP socket. Association 0, Initial RTO 3000, Minimum RTO 1000, Maximum RTO 6000
2024-08-19T20:51:03.286814 [COMN   ] [D] [    0] Setting SCTP_INITMSG options on SCTP socket. Max attempts 3, Max init attempts timeout 5000
2024-08-19T20:51:03.286823 [COMN   ] [D] [    0] Successfully bound to address 172.22.0.22:0
2024-08-19T20:51:21.956150 [COMN   ] [I] [    0] Failed to establish socket connection to 172.22.0.9
2024-08-19T20:51:21.956223 [COMN   ] [W] [    0] RxSockets: The socket fd=7 to be removed does not exist
2024-08-19T20:51:21.956237 [COMN   ] [D] [    0] Socket=7 was closed.
2024-08-19T20:51:31.955644 [COMN   ] [D] [    0] Opened SCTP socket=7
2024-08-19T20:51:31.955648 [COMN   ] [D] [    0] Setting RTO_INFO options on SCTP socket. Association 0, Initial RTO 3000, Minimum RTO 1000, Maximum RTO 6000
2024-08-19T20:51:31.955650 [COMN   ] [D] [    0] Setting SCTP_INITMSG options on SCTP socket. Max attempts 3, Max init attempts timeout 5000
2024-08-19T20:51:31.955659 [COMN   ] [D] [    0] Successfully bound to address 172.22.0.22:0
2024-08-19T20:51:50.628145 [COMN   ] [I] [    0] Failed to establish socket connection to 172.22.0.9
2024-08-19T20:51:50.628188 [COMN   ] [W] [    0] RxSockets: The socket fd=7 to be removed does not exist
2024-08-19T20:51:50.628208 [COMN   ] [D] [    0] Socket=7 was closed.
2024-08-19T20:52:00.629961 [COMN   ] [D] [    0] Opened SCTP socket=7
